Id,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Male,Country,Clicked on Ad
0,68.95,35,61833.9,256.09,Wrightburgh,0,Tunisia,0
1,80.23,31,68441.85,193.77,West Jodi,1,Nauru,0
2,69.47,26,59785.94,236.5,Davidton,0,San Marino,0
3,74.15,29,54806.18,245.89,West Terrifurt,1,Italy,0
4,68.37,35,73889.99,225.58,South Manuel,0,Iceland,0
5,59.99,23,59761.56,226.74,Jamieberg,1,Norway,0
6,88.91,33,53852.85,208.36,Brandonstad,0,Myanmar,0
7,66,48,24593.33,131.76,Port Jefferybury,1,Australia,1
8,74.53,30,68862,221.51,West Colin,1,Grenada,0
9,69.88,20,55642.32,183.82,Ramirezton,1,Ghana,0
10,47.64,49,45632.51,122.02,West Brandonton,0,Qatar,1
11,83.07,37,62491.01,230.87,East Theresashire,1,Burundi,0
12,69.57,48,51636.92,113.12,West Katiefurt,1,Egypt,1
13,79.52,24,51739.63,214.23,North Tara,0,Bosnia and Herzegovina,0
14,42.95,33,30976,143.56,West William,0,Barbados,1
15,63.45,23,52182.23,140.64,New Travistown,1,Spain,1
16,55.39,37,23936.86,129.41,West Dylanberg,0,Palestinian Territory,1
17,82.03,41,71511.08,187.53,Pruittmouth,0,Afghanistan,0
18,54.7,36,31087.54,118.39,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),1
19,74.58,40,23821.72,135.51,Millertown,1,Russian Federation,1
20,77.22,30,64802.33,224.44,Port Jacqueline,1,Cameroon,0
21,84.59,35,60015.57,226.54,Lake Nicole,1,Cameroon,0
22,41.49,52,32635.7,164.83,South John,0,Burundi,1
23,87.29,36,61628.72,209.93,Pamelamouth,1,Korea,0
24,41.39,41,68962.32,167.22,Harperborough,0,Tokelau,1
25,78.74,28,64828,204.79,Port Danielleberg,1,Monaco,0
26,48.53,28,38067.08,134.14,West Jeremyside,1,Tuvalu,1
27,51.95,52,58295.82,129.23,South Cathyfurt,0,Greece,1
28,70.2,34,32708.94,119.2,Palmerside,0,British Virgin Islands,1
29,76.02,22,46179.97,209.82,West Guybury,0,Bouvet Island (Bouvetoya),0
30,67.64,35,51473.28,267.01,Phelpschester,1,Peru,0
31,86.41,28,45593.93,207.48,Lake Melindamouth,1,Aruba,0
32,59.05,57,25583.29,169.23,North Richardburgh,1,Maldives,1
33,55.6,23,30227.98,212.58,Port Cassie,0,Senegal,1
34,57.64,57,45580.92,133.81,New Thomas,1,Dominica,1
35,84.37,30,61389.5,201.58,Johnstad,0,Luxembourg,0
36,62.26,53,56770.79,125.45,West Aprilport,1,Montenegro,1
37,65.82,39,76435.3,221.94,Kellytown,0,Ukraine,0
38,50.43,46,57425.87,119.32,Charlesport,1,Saint Helena,1
39,38.93,39,27508.41,162.08,Millerchester,0,Liberia,1
40,84.98,29,57691.95,202.61,Mackenziemouth,0,Russian Federation,0
41,64.24,30,59784.18,252.36,Zacharystad,0,Tunisia,0
42,82.52,32,66572.39,198.11,North Joshua,1,Turkmenistan,0
43,81.38,31,64929.61,212.3,Bowenview,0,Saint Helena,0
44,80.47,25,57519.64,204.86,Jamesberg,0,Niger,0
45,37.68,52,53575.48,172.83,Lake Cassandraport,1,Turkmenistan,1
46,69.62,20,50983.75,202.25,New Sharon,1,Qatar,0
47,85.4,43,67058.72,198.72,Johnport,0,Sri Lanka,0
48,44.33,37,52723.34,123.72,Hamiltonfort,1,Trinidad and Tobago,1
49,48.01,46,54286.1,119.93,West Christopher,0,Italy,1
50,73.18,23,61526.25,196.71,Hollandberg,1,British Virgin Islands,0
51,79.94,28,58526.04,225.29,Odomville,0,United Kingdom,0
52,33.33,45,53350.11,193.58,East Samanthashire,1,Guinea-Bissau,1
53,50.33,50,62657.53,133.2,South Lauraton,1,Micronesia,1
54,62.31,47,62722.57,119.3,Amandahaven,0,Turkey,1
55,80.6,31,67479.62,177.55,Thomasview,0,Croatia,0
56,65.19,36,75254.88,150.61,Garciaside,0,Israel,1
57,44.98,49,52336.64,129.31,Port Sarahshire,0,Svalbard & Jan Mayen Islands,1
58,77.63,29,56113.37,239.22,Port Gregory,0,Azerbaijan,0
59,41.82,41,24852.9,156.36,Brendachester,0,Iran,1
60,85.61,27,47708.42,183.43,Lake Amy,0,Burundi,0
61,85.84,34,64654.66,192.93,Lake Annashire,1,Saint Vincent and the Grenadines,0
62,72.08,29,71228.44,169.5,Smithburgh,0,Burundi,0
63,86.06,32,61601.05,178.92,North Leonmouth,1,Bulgaria,0
64,45.96,45,66281.46,141.22,Robertfurt,0,Christmas Island,1
65,62.42,29,73910.9,198.5,Jasminefort,1,Canada,0
66,63.89,40,51317.33,105.22,Jensenborough,0,Rwanda,1
67,35.33,32,51510.18,200.22,Bradleyburgh,0,Turks and Caicos Islands,1
68,75.74,25,61005.87,215.25,New Sheila,1,Tunisia,0
69,78.53,34,32536.98,131.72,North Regina,0,Norfolk Island,1
70,46.13,31,60248.97,139.01,Davidmouth,0,Bouvet Island (Bouvetoya),1
71,69.01,46,74543.81,222.63,New Michaeltown,0,Turks and Caicos Islands,0
72,55.35,39,75509.61,153.17,East Tammie,1,Cook Islands,1
73,33.21,43,42650.32,167.07,Wilcoxport,1,Turkey,1
74,38.46,42,58183.04,145.98,East Michaelmouth,1,Guatemala,1
75,64.1,22,60465.72,215.93,East Tiffanyport,0,Cote d'Ivoire,0
76,49.81,35,57009.76,120.06,Ramirezhaven,1,Faroe Islands,1
77,82.73,33,54541.56,238.99,Cranemouth,1,Qatar,0
78,56.14,38,32689.04,113.53,Lake Edward,1,Ireland,1
79,55.13,45,55605.92,111.71,Lake Conniefurt,0,Ukraine,1
80,78.11,27,63296.87,209.25,East Shawnchester,1,Moldova,0
81,73.46,28,65653.47,222.75,West Joseph,1,Nicaragua,0
82,56.64,38,61652.53,115.91,Lake Christopherfurt,0,Montserrat,1
83,68.94,54,30726.26,138.71,East Tylershire,0,Timor-Leste,1
84,70.79,31,74535.94,184.1,Sharpberg,0,Bouvet Island (Bouvetoya),0
85,57.76,41,47861.93,105.15,Lake Dustin,0,Puerto Rico,1
86,77.51,36,73600.28,200.55,North Kristine,0,Central African Republic,0
87,52.7,34,58543.94,118.6,Grahamberg,1,Venezuela,1
88,57.7,34,42696.67,109.07,New Tina,0,Australia,1
89,56.89,37,37334.78,109.29,Nelsonfurt,1,Wallis and Futuna,1
90,69.9,43,71392.53,138.35,Christopherport,0,Jersey,1
91,55.79,24,59550.05,149.67,Port Sarahhaven,0,Puerto Rico,1
92,70.03,26,64264.25,227.72,Bradleyborough,1,Samoa,0
93,50.08,40,64147.86,125.85,Whiteport,1,Greece,1
94,43.67,31,25686.34,166.29,New Theresa,1,Antarctica (the territory South of 60 deg S),1
95,72.84,26,52968.22,238.63,Wongland,0,Albania,0
96,45.72,36,22473.08,154.02,Williammouth,1,Hong Kong,1
97,39.94,41,64927.19,156.3,Williamsborough,0,Lithuania,1
98,35.61,46,51868.85,158.22,North Michael,0,Egypt,1
99,79.71,34,69456.83,211.65,Benjaminchester,1,Bangladesh,0
100,41.49,53,31947.65,169.18,Hernandezville,0,Western Sahara,1
101,63.6,23,51864.77,235.28,Youngburgh,1,Serbia,0
102,89.91,40,59593.56,194.23,Wallacechester,0,Maldives,0
103,68.18,21,48376.14,218.17,Sanchezmouth,1,Czech Republic,0
104,66.49,20,56884.74,202.16,Bradshawborough,0,Guernsey,0
105,80.49,40,67186.54,229.12,Amyhaven,1,Tanzania,0
106,72.23,25,46557.92,241.03,Marcushaven,1,Bhutan,0
107,42.39,42,66541.05,150.99,Erinton,0,Christmas Island,1
108,47.53,30,33258.09,135.18,Hughesport,0,Guinea,1
109,74.02,32,72272.9,210.54,Johnstad,0,Micronesia,0
110,66.63,60,60333.38,176.98,New Lucasburgh,0,Madagascar,1
111,63.24,53,65229.13,235.78,Michelleside,1,Lebanon,1
112,71,22,56067.38,211.87,Andersonton,0,Eritrea,0
113,46.13,46,37838.72,123.64,New Rachel,1,Guyana,1
114,69,32,72683.35,221.21,Port Susan,1,Trinidad and Tobago,0
115,76.99,31,56729.78,244.34,West Angelabury,1,Jersey,0
116,72.6,55,66815.54,162.95,Port Christopherborough,0,United Arab Emirates,1
117,61.88,42,60223.52,112.19,Phillipsbury,1,Martinique,1
118,84.45,50,29727.79,207.18,Millerside,0,Somalia,1
119,88.97,45,49269.98,152.49,Lake Jessica,0,Bhutan,1
120,86.19,31,57669.41,210.26,Lopezmouth,1,Greece,0
121,49.58,26,56791.75,231.94,Johnsport,0,Benin,0
122,77.65,27,63274.88,212.79,South Ronald,0,Papua New Guinea,0
123,37.75,36,35466.8,225.24,South Daniel,0,Uzbekistan,1
124,62.33,43,68787.09,127.11,Suzannetown,0,South Africa,1
125,79.57,31,61227.59,230.93,Lisaberg,0,Egypt,0
126,80.31,44,56366.88,127.07,Brianfurt,0,Hungary,1
127,89.05,45,57868.44,206.98,Stewartbury,0,Falkland Islands (Malvinas),0
128,70.41,27,66618.21,223.03,Benjaminchester,0,Dominica,0
129,67.36,37,73104.47,233.56,North Wesleychester,0,Jersey,0
130,46.98,50,21644.91,175.37,East Michelleberg,0,Lithuania,1
131,41.67,36,53817.02,132.55,Port Eric,0,Saint Martin,1
132,51.24,36,76368.31,176.73,Timothyfurt,0,Cuba,1
133,75.7,29,67633.44,215.44,Port Jeffrey,0,United States Minor Outlying Islands,0
134,43.49,47,50335.46,127.83,Guzmanland,0,Belize,1
135,49.89,39,17709.98,160.03,East Michele,1,Belize,1
136,38.37,36,41229.16,140.46,East John,0,Antarctica (the territory South of 60 deg S),1
137,38.52,38,42581.23,137.28,Lesliebury,1,Saint Vincent and the Grenadines,1
138,71.89,23,61617.98,172.81,Patriciahaven,1,Kuwait,0
139,75.8,38,70575.6,146.19,Ashleychester,1,Thailand,0
140,83.86,31,64122.36,190.25,Lake Josetown,0,Gibraltar,0
141,37.51,30,52097.32,163,Debraburgh,1,Holy See (Vatican City State),1
142,55.6,44,65953.76,124.38,New Debbiestad,1,Korea,1
143,83.67,44,60192.72,234.26,West Shaun,1,Saint Helena,0
144,69.08,41,77460.07,210.6,Kimberlyhaven,0,Turks and Caicos Islands,0
145,37.47,44,45716.48,141.89,Port Lawrence,1,Czech Republic,1
146,56.04,49,65120.86,128.95,West Ricardo,1,Netherlands,1
147,70.92,41,49995.63,108.16,Lake Jose,1,Belarus,1
148,49.78,46,71718.51,152.24,Heatherberg,0,Dominica,1
149,68.61,57,61770.34,150.29,South George,0,South Africa,1
150,58.18,25,69112.84,176.28,Tinachester,1,New Zealand,0
151,78.54,35,72524.86,172.1,Port Jodi,0,Togo,0
152,37,48,36782.38,158.22,Jonathantown,1,Kenya,1
153,65.4,33,66699.12,247.31,Sylviaview,0,Palau,0
154,79.52,27,64287.78,183.48,East Timothyport,1,Timor-Leste,0
155,87.98,38,56637.59,222.11,West Roytown,1,Cambodia,0
156,44.64,36,55787.58,127.01,Codyburgh,0,Belize,1
157,41.73,28,61142.33,202.18,Port Erikhaven,1,Cuba,1
158,80.46,27,61625.87,207.96,Port Chasemouth,1,Costa Rica,0
159,75.55,36,73234.87,159.24,Ramirezside,0,Liechtenstein,1
160,76.32,35,74166.24,195.31,East Michaeltown,1,Korea,0
161,82.68,33,62669.59,222.77,West Courtney,1,Ukraine,0
162,72.01,31,57756.89,251,West Michaelhaven,0,Angola,0
163,75.83,24,58019.64,162.44,Walshhaven,0,Nauru,0
164,41.28,50,50960.08,140.39,East Rachelview,0,Equatorial Guinea,1
165,34.66,32,48246.6,194.83,Curtisport,0,Mongolia,1
166,66.18,55,28271.84,143.42,Frankbury,0,Svalbard & Jan Mayen Islands,1
167,86.06,31,53767.12,219.72,Timothytown,1,Timor-Leste,0
168,59.59,42,43662.1,104.78,Samanthaland,1,Brazil,1
169,86.69,34,62238.58,198.56,South Jennifer,0,Chad,0
170,43.77,52,49030.03,138.55,Kyleborough,1,Portugal,1
171,71.84,47,76003.47,199.79,North Randy,1,Malawi,0
172,80.23,31,68094.85,196.23,South Daniellefort,0,Qatar,0
173,74.41,26,64395.85,163.05,Dianashire,0,Singapore,0
174,63.36,48,70053.27,137.43,East Eric,0,Guinea,1
175,71.74,35,72423.97,227.56,Hammondport,0,Kazakhstan,0
176,60.72,44,42995.8,105.69,Jacobstad,0,Kuwait,1
177,72.04,22,60309.58,199.43,Hernandezfort,0,Rwanda,0
178,44.57,31,38349.78,133.17,Joneston,1,China,1
179,85.86,34,63115.34,208.23,New Jeffreychester,0,Bouvet Island (Bouvetoya),0
180,39.85,38,31343.39,145.96,East Stephen,0,Vietnam,1
181,84.53,27,40763.13,168.34,Turnerchester,0,Guatemala,1
182,62.95,60,36752.24,157.04,Youngfort,0,Peru,1
183,67.58,41,65044.59,255.61,Ingramberg,1,Mayotte,0
184,85.56,29,53673.08,210.46,South Denisefurt,0,Samoa,0
185,46.88,54,43444.86,136.64,Port Melissaberg,0,Singapore,1
186,46.31,57,44248.52,153.98,Bernardton,1,Jamaica,1
187,77.95,31,62572.88,233.65,Port Mathew,1,Bahamas,0
188,84.73,30,39840.55,153.76,Aliciatown,0,Canada,1
189,39.86,36,32593.59,145.85,Josephstad,0,Algeria,1
190,50.08,30,41629.86,123.91,West Ericfurt,0,Fiji,1
191,60.23,35,43313.73,106.86,New Brendafurt,0,Kenya,1
192,60.7,49,42993.48,110.57,Port Julie,1,Argentina,1
193,43.67,53,46004.31,143.79,South Tiffanyton,1,Bouvet Island (Bouvetoya),1
194,77.2,33,49325.48,254.05,North Elizabeth,1,Philippines,0
195,71.86,32,51633.34,116.53,Kentmouth,0,Senegal,1
196,44.78,45,63363.04,137.24,West Casey,1,Suriname,1
197,78.57,36,64045.93,239.32,East Henry,1,Liberia,0
198,73.41,31,73049.3,201.26,Hollyfurt,1,Guam,0
199,77.05,27,66624.6,191.14,North Anna,0,United Arab Emirates,0
200,66.4,40,77567.85,214.42,Port Destiny,0,Antigua and Barbuda,0
201,69.35,29,53431.35,252.77,Ianmouth,1,Argentina,0
202,35.65,40,31265.75,172.58,North Johntown,1,Georgia,1
203,70.04,31,74780.74,183.85,Hannahside,1,Jordan,0
204,69.78,29,70410.11,218.79,Wilsonburgh,0,Saudi Arabia,0
205,58.22,29,37345.24,120.9,North Russellborough,0,South Africa,1
206,76.9,28,66107.84,212.67,Murphymouth,0,Croatia,0
207,84.08,30,62336.39,187.36,Carterburgh,1,Fiji,0
208,59.51,58,39132.64,140.83,Penatown,0,Australia,1
209,40.15,38,38745.29,134.88,Joechester,1,Sao Tome and Principe,1
210,76.81,28,65172.22,217.85,East Paul,1,Fiji,0
211,41.89,38,68519.96,163.38,Hartmanchester,0,Cyprus,1
212,76.87,27,54774.77,235.35,Mcdonaldfort,1,Kyrgyz Republic,0
213,67.28,43,76246.96,155.8,North Mercedes,1,Pakistan,1
214,81.98,40,65461.92,229.22,Taylorberg,0,Seychelles,0
215,66.01,23,34127.21,151.95,Hansenmouth,0,Samoa,1
216,61.57,53,35253.98,125.94,Bradyfurt,1,Bulgaria,1
217,53.3,34,44893.71,111.94,West Jessicahaven,0,Mauritania,1
218,34.87,40,59621.02,200.23,Davilachester,0,Czech Republic,1
219,43.6,38,20856.54,170.49,North Ricardotown,0,Chile,1
220,77.88,37,55353.41,254.57,Melissafurt,0,Poland,0
221,75.83,27,67516.07,200.59,East Brianberg,0,Estonia,0
222,49.95,39,68737.75,136.59,Millerbury,0,Turkmenistan,1
223,60.94,41,76893.84,154.97,Garciaview,0,Latvia,1
224,89.15,42,59886.58,171.07,Townsendfurt,0,Fiji,0
225,78.7,30,53441.69,133.99,Williamstad,0,Turkey,1
226,57.35,29,41356.31,119.84,West Connor,0,Kazakhstan,1
227,34.86,38,49942.66,154.75,West Justin,0,Bahrain,1
228,70.68,31,74430.08,199.08,Robertbury,0,Colombia,0
229,76.06,23,58633.63,201.04,New Tinamouth,0,Brunei Darussalam,0
230,66.67,33,72707.87,228.03,Turnerview,1,Taiwan,0
231,46.77,32,31092.93,136.4,Reneechester,1,Serbia,1
232,62.42,38,74445.18,143.94,West Tinashire,0,Saint Pierre and Miquelon,1
233,78.32,28,49309.14,239.52,Jamesfurt,0,Australia,1
234,37.32,50,56735.14,199.25,New Nancy,1,Chad,1
235,40.42,45,40183.75,133.9,Lisamouth,1,Norway,1
236,76.77,36,58348.41,123.51,Harveyport,0,Turks and Caicos Islands,1
237,65.65,30,72209.99,158.05,Ramosstad,0,Finland,0
238,74.32,33,62060.11,128.17,North Kevinside,0,South Africa,1
239,73.27,32,67113.46,234.75,Haleview,1,Martinique,0
240,80.03,44,24030.06,150.84,Christinetown,0,Afghanistan,1
241,53.68,47,56180.93,115.26,New Michael,1,Micronesia,1
242,85.84,32,62204.93,192.85,Jonesland,1,French Southern Territories,0
243,85.03,30,60372.64,204.52,North Shannon,0,Philippines,0
244,70.44,24,65280.16,178.75,New Sonialand,1,Algeria,0
245,81.22,53,34309.24,223.09,Port Jason,1,San Marino,0
246,39.96,45,59610.81,146.13,East Barbara,1,Guernsey,1
247,57.05,41,50278.89,269.96,Port Erinberg,1,Sierra Leone,1
248,42.44,56,43450.11,168.27,Petersonfurt,0,Tajikistan,1
249,62.2,25,25408.21,161.16,New Lindaberg,0,Liechtenstein,1
250,76.7,36,71136.49,222.25,West Russell,0,Ecuador,0
251,61.22,45,63883.81,119.03,South Adam,1,Switzerland,1
252,84.54,33,64902.47,204.02,North Tracyport,1,Moldova,0
253,46.08,30,66784.81,164.63,Brownport,1,Finland,1
254,56.7,48,62784.85,123.13,Port Crystal,0,France,1
255,81.03,28,63727.5,201.15,Masonhaven,0,Venezuela,0
256,80.91,32,61608.23,231.42,Derrickhaven,0,Cuba,0
257,40.06,38,56782.18,138.68,Olsonstad,1,Peru,1
258,83.47,39,64447.77,226.11,New Brandy,0,Turkey,0
259,73.84,31,42042.95,121.05,South Jasminebury,0,Albania,1
260,74.65,28,67669.06,212.56,East Timothy,0,French Southern Territories,0
261,60.25,35,54875.95,109.77,Charlottefort,0,Papua New Guinea,1
262,59.21,35,73347.67,144.62,Lake Beckyburgh,1,Liechtenstein,1
263,43.02,44,50199.77,125.22,West Lindseybury,0,Thailand,1
264,84.04,38,50723.67,244.55,West Alyssa,0,Malaysia,0
265,70.66,43,63450.96,120.95,Lake Craigview,1,Mauritius,1
266,70.58,26,56694.12,136.94,Lake David,0,Algeria,1
267,72.44,34,70547.16,230.14,Bruceburgh,0,Christmas Island,0
268,40.17,26,47391.95,171.31,South Lauratown,1,Japan,1
269,79.15,26,62312.23,203.23,Port Robin,0,Greenland,0
270,44.49,53,63100.13,168,Jacksonburgh,1,Sao Tome and Principe,1
271,73.04,37,73687.5,221.79,Erinmouth,1,Senegal,0
272,76.28,33,52686.47,254.34,Port Aliciabury,0,Guadeloupe,0
273,68.88,37,78119.5,179.58,Port Whitneyhaven,0,Belgium,0
274,73.1,28,57014.84,242.37,Jeffreyshire,0,Israel,0
275,47.66,29,27086.4,156.54,Tinaton,0,Honduras,1
276,87.3,35,58337.18,216.87,North Loriburgh,0,Estonia,0
277,89.34,32,50216.01,177.78,Wendyton,1,Paraguay,0
278,81.37,26,53049.44,156.48,Lake Jacqueline,1,Kyrgyz Republic,0
279,81.67,28,62927.96,196.76,North Christopher,1,Mauritania,0
280,46.37,52,32847.53,144.27,Alexanderfurt,0,French Guiana,1
281,54.88,24,32006.82,148.61,West Pamela,0,Northern Mariana Islands,1
282,40.67,35,48913.07,133.18,West Amanda,0,Lebanon,1
283,71.76,35,69285.69,237.39,South Tomside,0,Saint Pierre and Miquelon,0
284,47.51,51,53700.57,130.41,Bethburgh,1,American Samoa,1
285,75.15,22,52011,212.87,Jamiefort,1,Austria,0
286,56.01,26,46339.25,127.26,Garciamouth,0,Tonga,1
287,82.87,37,67938.77,213.36,West Brenda,0,Tonga,0
288,45.05,42,66348.95,141.36,South Kyle,0,French Southern Territories,1
289,60.53,24,66873.9,167.22,Combsstad,0,Serbia,1
290,50.52,31,72270.88,171.62,Lake Allenville,0,New Caledonia,1
291,84.71,32,61610.05,210.23,Greenechester,0,Taiwan,0
292,55.2,39,76560.59,159.46,Jordantown,1,United States of America,1
293,81.61,33,62667.51,228.76,Gravesport,0,Morocco,0
294,71.55,36,75687.46,163.99,South Troy,1,Suriname,0
295,82.4,36,66744.65,218.97,Lake Patrick,1,Macedonia,0
296,73.95,35,67714.82,238.58,Millerland,0,Wallis and Futuna,0
297,72.07,31,69710.51,226.45,Port Jessicamouth,0,Chile,0
298,80.39,31,66269.49,214.74,Paulport,0,Gabon,0
299,65.8,25,60843.32,231.49,Clineshire,1,Gabon,0
300,69.97,28,55041.6,250,Cynthiaside,0,Holy See (Vatican City State),0
301,52.62,50,73863.25,176.52,Port Juan,0,Seychelles,1
302,39.25,39,62378.05,152.36,Michellefort,0,Mayotte,1
303,77.56,38,63336.85,130.83,Port Angelamouth,1,Uganda,1
304,33.52,43,42191.61,165.56,Jessicahaven,0,Cambodia,1
305,79.81,24,56194.56,178.85,North Daniel,1,Antigua and Barbuda,1
306,84.79,33,61771.9,214.53,New Juan,0,Cameroon,0
307,82.7,35,61383.79,231.07,Amyfurt,0,Somalia,0
308,84.88,32,63924.82,186.48,Harrishaven,0,Lebanon,0
309,54.92,54,23975.35,161.16,Roberttown,0,Saint Pierre and Miquelon,1
310,76.56,34,70179.11,221.53,Jeremyshire,1,Dominica,0
311,69.74,49,66524.8,243.37,Birdshire,0,Hungary,0
312,75.55,22,41851.38,169.4,New Amanda,0,Taiwan,1
313,72.19,33,61275.18,250.35,Curtisview,1,Saint Lucia,0
314,84.29,41,60638.38,232.54,Jacksonmouth,0,Niue,0
315,73.89,39,47160.53,110.68,North April,0,France,1
316,75.84,21,48537.18,186.98,Hayesmouth,0,Cyprus,0
317,73.38,25,53058.91,236.19,South Corey,1,French Southern Territories,0
318,80.72,31,68614.98,186.37,Juliaport,0,Costa Rica,0
319,62.06,44,44174.25,105,Port Paultown,0,Austria,1
320,51.5,34,67050.16,135.31,East Vincentstad,0,Zambia,1
321,90.97,37,54520.14,180.77,Kimberlytown,0,Congo,0
322,86.78,30,54952.42,170.13,New Steve,1,United States of America,0
323,66.18,35,69476.42,243.61,New Johnberg,0,Pitcairn Islands,0
324,84.33,41,54989.93,240.95,Shawstad,0,Belize,0
325,36.87,36,29398.61,195.91,New Rebecca,0,Anguilla,1
326,34.78,48,42861.42,208.21,Jeffreyburgh,1,South Africa,1
327,76.84,32,65883.39,231.59,Faithview,0,Singapore,0
328,67.05,25,65421.39,220.92,Richardsontown,0,Finland,0
329,41.47,31,60953.93,219.79,Port Brookeland,0,Martinique,1
330,80.71,26,58476.57,200.58,East Christopherbury,0,Cameroon,0
331,80.09,31,66636.84,214.08,Port Christinemouth,0,Sweden,0
